STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Year,YearMonth,TextMonth,PRCP,TMAX,TMIN
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/22/1972,1972,2,February,0.19,62,45
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/23/1972,1972,2,February,0.08,60,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/24/1972,1972,2,February,0.02,55,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/25/1972,1972,2,February,0,54,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/26/1972,1972,2,February,0.4,61,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/27/1972,1972,2,February,0,68,46
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/28/1972,1972,2,February,0.11,69,53
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/29/1972,1972,2,February,0.01,60,49
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/1/1972,1972,3,March,0,60,43
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/2/1972,1972,3,March,0,61,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/3/1972,1972,3,March,0.04,65,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/4/1972,1972,3,March,0,68,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/5/1972,1972,3,March,0,75,47
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/6/1972,1972,3,March,0,76,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/7/1972,1972,3,March,0,78,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/8/1972,1972,3,March,0,78,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/9/1972,1972,3,March,0,74,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/10/1972,1972,3,March,0.13,65,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/11/1972,1972,3,March,0,68,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/12/1972,1972,3,March,0,73,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/13/1972,1972,3,March,0,70,53
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/14/1972,1972,3,March,0,75,47
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/15/1972,1972,3,March,0,79,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/16/1972,1972,3,March,0,84,49
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/17/1972,1972,3,March,0,85,57
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/18/1972,1972,3,March,0,83,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/19/1972,1972,3,March,0,79,45
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/20/1972,1972,3,March,0,79,45
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/21/1972,1972,3,March,0,76,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/22/1972,1972,3,March,0.47,73,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/23/1972,1972,3,March,0,61,42
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/24/1972,1972,3,March,0,66,47
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/25/1972,1972,3,March,0,62,43
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/26/1972,1972,3,March,0,59,32
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/27/1972,1972,3,March,0,59,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/28/1972,1972,3,March,0,64,37
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/29/1972,1972,3,March,0,64,39
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/30/1972,1972,3,March,0,69,41
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/31/1972,1972,3,March,0,75,49
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/1/1972,1972,4,April,0,67,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/2/1972,1972,4,April,0,69,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/3/1972,1972,4,April,0,77,53
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/4/1972,1972,4,April,0,78,56
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/5/1972,1972,4,April,0.18,75,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/6/1972,1972,4,April,0.19,61,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/7/1972,1972,4,April,0,66,45
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/8/1972,1972,4,April,0,68,42
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/9/1972,1972,4,April,0,68,44
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/10/1972,1972,4,April,0,67,47
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/11/1972,1972,4,April,0.44,66,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/12/1972,1972,4,April,0.18,60,46
