STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Year,YearMonth,TextMonth,PRCP,TMAX,TMIN
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/23/1972,1972,2,February,0.06,40,30
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/24/1972,1972,2,February,0.01,44,31
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/25/1972,1972,2,February,0.06,38,20
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/26/1972,1972,2,February,0.01,48,36
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/27/1972,1972,2,February,0.33,47,42
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/28/1972,1972,2,February,0.45,47,39
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,2/29/1972,1972,2,February,0,43,27
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/1/1972,1972,3,March,0.18,40,26
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/2/1972,1972,3,March,0.47,47,38
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/3/1972,1972,3,March,0,53,39
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/4/1972,1972,3,March,0,55,40
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/5/1972,1972,3,March,0,68,33
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/6/1972,1972,3,March,0,62,34
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/7/1972,1972,3,March,0,69,31
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/8/1972,1972,3,March,0,66,35
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/9/1972,1972,3,March,0.28,52,42
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/10/1972,1972,3,March,0.17,47,42
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/11/1972,1972,3,March,0,56,41
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/12/1972,1972,3,March,0.04,52,45
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/13/1972,1972,3,March,0,59,39
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/14/1972,1972,3,March,0,63,35
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/15/1972,1972,3,March,0,69,42
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/16/1972,1972,3,March,0,76,39
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/17/1972,1972,3,March,0,72,38
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/18/1972,1972,3,March,0,60,36
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/19/1972,1972,3,March,0,60,31
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/20/1972,1972,3,March,0,66,30
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/21/1972,1972,3,March,0.02,61,41
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/22/1972,1972,3,March,1.1,48,34
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/23/1972,1972,3,March,0,51,32
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/24/1972,1972,3,March,0.1,42,32
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/25/1972,1972,3,March,0.05,40,25
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/26/1972,1972,3,March,0,41,25
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/27/1972,1972,3,March,0,48,24
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/28/1972,1972,3,March,0,53,27
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/29/1972,1972,3,March,0,56,27
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/30/1972,1972,3,March,0,66,26
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,3/31/1972,1972,3,March,0,59,32
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/1/1972,1972,4,April,0.16,48,42
